CustomerID,Age,Annual_Income,Spending_Score,Segment
1314,43,29461,43,C
1315,26,21792,30,C
1316,26,74842,98,C
1317,29,59772,65,B
1318,53,60184,59,B
1319,40,47534,80,C
1320,50,31425,88,A
1321,38,33456,85,A
1322,54,76977,40,C
1323,59,64098,52,B
1324,30,40325,91,C
1325,51,61103,92,C
1326,40,43180,26,C
1327,58,67759,42,C
1328,30,28087,36,C
1329,32,71317,80,C
1330,27,66926,60,B
1331,47,63783,85,C
1332,18,69313,40,C
1333,35,50661,78,C
1334,29,57723,88,C
1335,39,71611,42,C
1336,27,77821,49,B
1337,50,68170,76,C
1338,41,57479,23,C
1339,44,50367,70,C
1340,29,27822,70,A
1341,56,51618,53,B
1342,35,52782,90,C
1343,55,52498,85,C
1344,35,62730,54,B
1345,34,69451,43,C
1346,33,32409,90,A
1347,28,27818,23,C
1348,54,42906,53,B
1349,50,73049,96,C
1350,50,47932,50,B
1351,53,29896,94,A
1352,25,35553,76,C
1353,44,50626,24,C
1354,20,63125,63,B
1355,33,27910,87,A
1356,60,78240,81,C
1357,51,71992,54,B
1358,34,78195,75,C
1359,44,20405,63,B
1360,25,49770,51,B
1361,22,60185,48,B
1362,46,54206,63,B
1363,42,36159,29,C
1364,35,44034,55,B
1365,49,30314,37,C
1366,36,29716,56,B
1367,37,60153,98,C
1368,45,72565,84,C
1369,23,27081,93,A
1370,33,28998,56,B
1371,23,27942,82,A
1372,29,65536,36,C
1373,25,48143,22,C
1374,48,77656,45,B
1375,56,28409,77,A
1376,47,75802,81,C
1377,39,37138,65,B
1378,43,27091,37,C
1379,20,71482,71,C
1380,36,25360,42,C
1381,51,69664,64,B
1382,33,77731,42,C
1383,24,41608,72,C
1384,41,65027,50,B
1385,56,26625,34,C
1386,46,55162,50,B
1387,29,25248,60,B
1388,22,57557,88,C
1389,60,52047,87,C
1390,45,77907,93,C
1391,23,60819,95,C
1392,40,72583,31,C
1393,56,77466,78,C
1394,39,65365,50,B
1395,51,41671,34,C
1396,59,30342,100,A
1397,46,41601,37,C
1398,21,61359,86,C
1399,41,35510,38,C
1400,21,75944,84,C
1401,30,43160,64,B
1402,40,75681,82,C
1403,46,27846,31,C
1404,24,67531,64,B
1405,37,22780,53,B
1406,47,23240,47,B
1407,24,49132,90,C
1408,57,40692,52,B
1409,55,25108,21,C
1410,43,31601,97,A
1411,23,25428,34,C
1412,35,39506,96,C
1413,31,24287,91,A
1414,24,24288,29,C
1415,60,69063,21,C
1416,34,60362,32,C
1417,60,61581,65,B
1418,27,35570,55,B
1419,38,31117,97,A
1420,34,56829,91,C
1421,53,42723,58,B
1422,42,74542,21,C
1423,52,72743,27,C
1424,21,53102,26,C
1425,25,39110,39,C
1426,50,43870,80,C
1427,58,33547,91,A
1428,41,72033,86,C
1429,43,45060,25,C
1430,26,35395,78,C
1431,59,38867,88,C
1432,34,60396,98,C
1433,33,28267,47,B
1434,44,27310,83,A
1435,50,31145,91,A
1436,48,51677,72,C
1437,28,44351,88,C
1438,49,62487,60,B
1439,31,52207,66,B
1440,48,47236,93,C
1441,47,42736,39,C
1442,54,71651,27,C
1443,41,34737,49,B
1444,46,53349,50,B
1445,47,34106,79,A
1446,58,26221,85,A
1447,57,79003,89,C
1448,29,55467,96,C
1449,37,43622,48,B
1450,29,40872,77,C
1451,37,34175,100,A
1452,27,41325,92,C
1453,56,39771,21,C
1454,58,52388,93,C
1455,36,71473,79,C
1456,26,57001,72,C
1457,20,65216,40,C
1458,34,23293,74,A
1459,37,36542,52,B
1460,51,37012,93,C
1461,50,41951,92,C
1462,31,25024,32,C
1463,32,60780,70,C
1464,29,33451,76,A
1465,22,47886,30,C
1466,51,75710,79,C
1467,49,21245,86,A
1468,37,62961,98,C
1469,30,59305,41,C
1470,27,33344,28,C
1471,31,40396,42,C
1472,30,55645,95,C
1473,42,35660,61,B
1474,49,53585,67,B
1475,32,69114,23,C
1476,42,47680,38,C
1477,33,74111,58,B
1478,20,70544,49,B
1479,59,29307,41,C
1480,25,69039,85,C
1481,35,36768,38,C
1482,19,47776,88,C
1483,56,66450,48,B
1484,36,65911,24,C
1485,38,29118,26,C
1486,34,34948,73,A
1487,53,31512,30,C
1488,27,58588,87,C
1489,30,39052,63,B
1490,18,24927,42,C
1491,58,39684,57,B
1492,53,38361,29,C
1493,59,70578,45,B
1494,28,42252,87,C
1495,31,63494,78,C
1496,44,26090,62,B
1497,21,79567,34,C
1498,36,43959,36,C
1499,42,51017,47,B
1500,26,45174,56,B
1501,27,27310,87,A
1502,24,68168,82,C
1503,19,39787,79,C
1504,53,55321,99,C
1505,20,67734,54,B
1506,39,50196,42,C
1507,20,79241,21,C
1508,49,50483,85,C
1509,44,30836,48,B
1510,25,67580,62,B
1511,59,32857,62,B
1512,41,33102,62,B
1513,59,76678,60,B
1514,40,24089,90,A
1515,56,79753,85,C
1516,57,65600,78,C
1517,42,50713,65,B
1518,44,37061,97,C
1519,27,22454,86,A
1520,29,45792,53,B
1521,30,53784,37,C
1522,21,78572,87,C
1523,32,24399,90,A
1524,28,38701,78,C
1525,29,38354,42,C
1526,28,34742,77,A
1527,34,49781,77,C
1528,29,21223,29,C
1529,54,32179,52,B
1530,36,55946,87,C
1531,29,55269,29,C
1532,41,68429,61,B
1533,19,40296,81,C
1534,35,32356,39,C
1535,29,53302,86,C
1536,37,76881,23,C
1537,33,56614,59,B
1538,50,48934,59,B
1539,60,63879,37,C
1540,29,49697,85,C
1541,38,45092,50,B
1542,38,54845,74,C
1543,40,29891,78,A
1544,48,34044,84,A
1545,24,27052,28,C
1546,18,40921,32,C
1547,25,69483,28,C
1548,49,49124,86,C
1549,58,75579,75,C
1550,53,43830,24,C
1551,38,28216,27,C
1552,26,22731,63,B
1553,26,62080,80,C
1554,47,61691,91,C
1555,58,28487,85,A
1556,36,34943,41,C
1557,33,69589,76,C
1558,29,21432,56,B
1559,32,49225,48,B
1560,35,23524,74,A
1561,49,57792,62,B
1562,27,52044,26,C
1563,53,55795,56,B
1564,32,40065,30,C
1565,47,67077,50,B
1566,18,36816,77,C
1567,19,26774,71,A
1568,32,23673,96,A
1569,58,53439,97,C
1570,31,44392,26,C
1571,51,37338,58,B
1572,47,62186,81,C
1573,53,79932,62,B
1574,24,49928,69,B
1575,23,43289,32,C
1576,39,72888,22,C
1577,53,36181,41,C
1578,23,24680,50,B
1579,44,23642,33,C
1580,42,54886,53,B
1581,38,28808,59,B
1582,60,76500,22,C
1583,23,78228,40,C
1584,49,58413,85,C
1585,18,40820,30,C
1586,26,47852,61,B
1587,35,70502,91,C
1588,18,60805,71,C
1589,38,44457,24,C
1590,52,73759,48,B
1591,28,56446,70,C
1592,32,46245,70,C
1593,33,31717,83,A
1594,54,34032,42,C
1595,22,53555,68,B
1596,39,36603,95,C
1597,42,22114,43,C
1598,34,58602,72,C
1599,30,74524,64,B
1600,31,33473,95,A
1601,35,68065,59,B
1602,46,43437,98,C
1603,54,79761,68,B
1604,44,36512,35,C
1605,55,27067,38,C
1606,52,37741,92,C
1607,59,53045,97,C
1608,34,72651,41,C
1609,22,41977,43,C
1610,47,33158,58,B
1611,57,64542,90,C
1612,49,48182,40,C
1613,29,65571,57,B
1614,33,48439,55,B
1615,20,79253,68,B
1616,46,68081,53,B
1617,34,66643,87,C
1618,53,67515,25,C
1619,45,42115,80,C
1620,30,55562,45,B
1621,20,31063,77,A
1622,40,44536,69,B
1623,24,52300,92,C
1624,21,33257,99,A
1625,20,31666,63,B
1626,51,73222,86,C
1627,34,35970,83,C
1628,23,59185,44,C
1629,50,64103,66,B
1630,50,25866,92,A
1631,36,54125,83,C
1632,28,24443,48,B
1633,28,68902,70,C
1634,41,68225,23,C
1635,28,25112,42,C
1636,19,34120,31,C
1637,52,38786,67,B
1638,56,72653,54,B
1639,35,20982,21,C
1640,22,28102,60,B
1641,19,31744,52,B
1642,41,54451,72,C
1643,41,33055,58,B
1644,53,21487,74,A
1645,45,51215,76,C
1646,48,76922,70,C
1647,23,44425,56,B
1648,35,74971,66,B
1649,28,79948,39,C
1650,58,56037,67,B
1651,34,54318,73,C
1652,39,37163,84,C
1653,59,59370,41,C
1654,23,60845,62,B
1655,43,48376,72,C
1656,35,68806,84,C
1657,35,34503,56,B
1658,18,68703,44,C
1659,47,43403,33,C
1660,30,48794,83,C
1661,31,49073,85,C
1662,59,20292,82,A
1663,34,38813,74,C
1664,54,29388,95,A
1665,41,51891,60,B
1666,39,77256,98,C
1667,40,51649,58,B
1668,49,60711,85,C
1669,29,67861,68,B
1670,32,69282,52,B
1671,25,32142,28,C
1672,40,33375,56,B
1673,45,62886,76,C
1674,33,25229,91,A
1675,60,27622,87,A
1676,45,77220,90,C
1677,22,33545,80,A
1678,20,32325,75,A
1679,36,44670,38,C
1680,54,24558,64,B
1681,29,50461,48,B
1682,50,33337,91,A
1683,53,76979,81,C
1684,57,52905,60,B
1685,27,67650,50,B
1686,34,41127,75,C
1687,48,56682,83,C
1688,30,23363,44,C
1689,54,32893,93,A
1690,20,20082,44,C
1691,58,73827,22,C
1692,50,67420,40,C
1693,52,44105,94,C
1694,38,51200,25,C
1695,28,78830,63,B
1696,39,47311,22,C
1697,47,47570,61,B
1698,48,69362,74,C
1699,25,47509,97,C
1700,49,59238,62,B
1701,43,71668,64,B
1702,35,47950,27,C
1703,29,51348,65,B
1704,60,40299,68,B
1705,60,65463,38,C
1706,29,75263,66,B
1707,27,30126,83,A
1708,26,56572,60,B
1709,39,23231,77,A
1710,48,75686,20,C
1711,58,58310,68,B
1712,59,66470,70,C
1713,54,23071,40,C
1714,31,61455,51,B
1715,47,52811,86,C
1716,18,59856,51,B
1717,23,68206,32,C
1718,60,24985,81,A
1719,22,24336,79,A
1720,32,50421,79,C
1721,49,39236,98,C
1722,53,53736,43,C
1723,30,34265,49,B
1724,44,22895,60,B
1725,31,57137,89,C
1726,58,39211,76,C
1727,53,74963,62,B
1728,58,78288,37,C
1729,27,60943,82,C
1730,52,74606,54,B
1731,39,76676,90,C
1732,40,24528,54,B
1733,60,79784,27,C
1734,45,56210,40,C
1735,46,48232,72,C
1736,28,50765,78,C
1737,60,37069,46,B
1738,20,74700,53,B
1739,53,74056,34,C
1740,49,63822,57,B
1741,60,48560,78,C
1742,45,43571,55,B
1743,18,57377,20,C
1744,47,61831,60,B
1745,26,70416,74,C
1746,46,61886,78,C
1747,18,64608,32,C
1748,38,30477,64,B
1749,27,75940,33,C
1750,33,30441,22,C
1751,35,26081,91,A
1752,45,53929,92,C
1753,24,39005,47,B
1754,36,21060,75,A
1755,28,40096,83,C
1756,44,77523,100,C
1757,60,77680,58,B
1758,22,47510,71,C
1759,44,32002,74,A
1760,54,69058,21,C
1761,46,43000,53,B
1762,27,25769,27,C
1763,42,67750,62,B
1764,20,39733,20,C
1765,41,72254,99,C
1766,55,47224,57,B
1767,29,38516,37,C
1768,39,47952,58,B
1769,18,31521,27,C
1770,33,66545,85,C
1771,49,69720,57,B
1772,42,62078,29,C
1773,54,55323,60,B
1774,27,45512,39,C
1775,47,64902,93,C
1776,31,32345,86,A
1777,47,37199,35,C
1778,46,62537,44,C
1779,19,56677,53,B
1780,49,51886,82,C
1781,29,43780,91,C
1782,28,76759,68,B
1783,52,20923,91,A
1784,42,54039,78,C
1785,35,40557,90,C
1786,45,75072,48,B
1787,25,34888,92,A
1788,46,56154,71,C
1789,27,60163,34,C
1790,58,40450,74,C
1791,32,52754,100,C
1792,58,33797,58,B
1793,47,28219,38,C
1794,38,49264,43,C
1795,42,27543,86,A
1796,52,35576,24,C
1797,42,74509,73,C
1798,24,37795,30,C
1799,27,42034,60,B
1800,33,63433,66,B
1801,40,51313,83,C
1802,36,78253,26,C
1803,48,60223,35,C
1804,25,55177,56,B
1805,29,64328,54,B
1806,26,22964,23,C
1807,34,57270,84,C
1808,39,73477,76,C
1809,33,68676,71,C
1810,26,64818,25,C
1811,57,78044,67,B
1812,30,60222,80,C
1813,19,64268,90,C
1814,41,71327,44,C
1815,50,54003,25,C
1816,58,72866,27,C
1817,47,38695,84,C
1818,56,42811,23,C
1819,46,70889,83,C
1820,21,46121,89,C
1821,40,55249,80,C
1822,59,48259,25,C
1823,41,32686,21,C
1824,59,42291,78,C
1825,27,31373,54,B
1826,23,32194,82,A
1827,35,77710,69,B
1828,44,57133,75,C
1829,26,61127,96,C
1830,24,45600,68,B
1831,20,60231,62,B
1832,21,47148,22,C
1833,37,23146,48,B
1834,30,34314,79,A
1835,22,70601,88,C
1836,32,79074,27,C
1837,21,61881,30,C
1838,28,39534,82,C
1839,42,67517,95,C
1840,48,26799,65,B
1841,30,41729,20,C
1842,27,22614,57,B
1843,54,25896,34,C
1844,41,73695,93,C
1845,55,48799,52,B
1846,35,47071,49,B
1847,28,56495,94,C
1848,23,43820,90,C
1849,25,78896,31,C
1850,38,39265,95,C
1851,32,73558,75,C
1852,60,67843,45,B
1853,40,20847,31,C
1854,49,67504,61,B
1855,40,28605,49,B
1856,41,69575,48,B
1857,47,22408,20,C
1858,59,49625,75,C
1859,33,22155,96,A
1860,29,58772,45,B
1861,33,31745,83,A
1862,37,67175,28,C
1863,31,40342,66,B
1864,40,31073,93,A
1865,49,46390,43,C
1866,37,52913,95,C
1867,21,55307,47,B
1868,38,48868,92,C
1869,19,65148,76,C
1870,47,33248,89,A
1871,37,48626,21,C
1872,32,28176,87,A
1873,57,24846,30,C
1874,38,63063,95,C
1875,45,43535,57,B
1876,28,29580,53,B
1877,28,74575,63,B
1878,59,79812,57,B
1879,57,25200,59,B
1880,51,64255,89,C
1881,56,45565,79,C
1882,48,56406,90,C
1883,40,71003,38,C
1884,54,71465,34,C
1885,51,49346,51,B
1886,47,25309,49,B
1887,42,42115,28,C
1888,36,29652,92,A
1889,60,74549,91,C
1890,38,22281,40,C
1891,31,69517,31,C
1892,40,31237,68,B
1893,42,53675,74,C
1894,48,63539,67,B
1895,56,34526,89,A
1896,27,66105,66,B
1897,48,39697,46,B
1898,23,43787,99,C
1899,39,38319,55,B
1900,45,21704,77,A
1901,39,57983,99,C
1902,24,68876,58,B
1903,55,77268,33,C
1904,22,24069,67,B
1905,43,38274,21,C
1906,52,75241,76,C
1907,43,77319,31,C
1908,21,52165,77,C
1909,41,43156,100,C
1910,51,22946,57,B
1911,18,26700,47,B
1912,28,26744,30,C
1913,43,76728,39,C
1914,46,48195,99,C
1915,47,64748,58,B
1916,31,37329,20,C
1917,22,71588,51,B
1918,53,48519,66,B
1919,28,72365,72,C
1920,53,67806,32,C
1921,18,50392,93,C
1922,50,50124,58,B
1923,51,42493,69,B
1924,49,64773,99,C
1925,21,31539,61,B
1926,38,26967,45,B
1927,50,79059,49,B
1928,58,28294,80,A
1929,45,49688,44,C
1930,39,41211,92,C
1931,27,78051,22,C
1932,26,37704,45,B
1933,40,41051,50,B
1934,39,34230,38,C
1935,30,28711,62,B
1936,38,22954,23,C
1937,42,52491,43,C
1938,40,79716,100,C
1939,55,65348,51,B
1940,35,36779,34,C
1941,33,73082,95,C
1942,27,55553,44,C
1943,58,79655,52,B
1944,34,55882,46,B
1945,56,47733,61,B
1946,29,50837,49,B
1947,37,34604,85,A
1948,49,25814,53,B
1949,19,60979,33,C
1950,26,38147,89,C
1951,56,64412,41,C
1952,42,38755,47,B
1953,50,62890,94,C
1954,55,33680,64,B
1955,26,55492,98,C
1956,44,67542,94,C
1957,51,50339,87,C
1958,25,68593,95,C
1959,38,40909,76,C
1960,20,29352,85,A
1961,42,51964,72,C
1962,27,55545,25,C
1963,21,71026,56,B
1964,50,46780,96,C
1965,54,54883,54,B
1966,38,50752,73,C
1967,39,27536,46,B
1968,55,69961,70,C
1969,21,58830,26,C
1970,24,66880,84,C
1971,29,69270,26,C
1972,41,50623,75,C
1973,34,64865,21,C
1974,44,42714,54,B
1975,37,22504,66,B
1976,39,79252,67,B
1977,51,70613,84,C
1978,37,31733,73,A
1979,34,33273,51,B
1980,41,67496,62,B
1981,56,62489,93,C
1982,48,39619,96,C
1983,41,75627,85,C
1984,44,72132,85,C
1985,31,77180,60,B
1986,21,32124,69,B
1987,60,33693,48,B
1988,37,31478,89,A
1989,41,39704,81,C
1990,47,60940,44,C
1991,29,71973,43,C
1992,24,35898,90,C
1993,48,63592,37,C
1994,45,51640,38,C
1995,52,62995,70,C
1996,48,43317,26,C
1997,53,42499,91,C
1998,33,53571,37,C
1999,44,41735,47,B
2000,57,52957,40,C
